Symbol,EXPIERY,Quantity,StrikeStep,AllowedPercentage,StepSize,StepNumber,StepPercentage,OptionType,MarginRequired
EXIDEIND,31-07-2025,2,5,3,5,2,15,CE,25000
FEDERALBNK,31-07-2025,2,2.5,3,2.5,2,15,CE,25000
FORTIS,31-07-2025,2,10,3,10,2,15,CE,25000
GAIL,31-07-2025,2,2.5,3,2.5,2,15,CE,25000
GLENMARK,31-07-2025,2,20,3,20,2,15,CE,25000
GMRAIRPORT,31-07-2025,2,1,3,1,2,15,CE,25000
GODREJCP,31-07-2025,2,10,3,10,2,15,CE,25000
GODREJPROP,31-07-2025,2,50,3,50,2,15,CE,25000
GRANULES,31-07-2025,2,10,3,10,2,15,CE,25000
GRASIM,31-07-2025,2,20,3,20,2,15,CE,25000
HAL,31-07-2025,2,50,3,50,2,15,CE,25000
HAVELLS,31-07-2025,2,20,3,20,2,15,CE,25000
HCLTECH,31-07-2025,2,20,3,20,2,15,CE,25000
HDFCAMC,31-07-2025,2,100,3,100,2,15,CE,25000
HDFCBANK,31-07-2025,2,20,3,20,2,15,CE,25000
HDFCLIFE,31-07-2025,2,5,3,5,2,15,CE,25000
HEROMOTOCO,31-07-2025,2,50,3,50,2,15,CE,25000
HFCL,31-07-2025,2,1,3,1,2,15,CE,25000
HINDALCO,31-07-2025,2,10,3,10,2,15,CE,25000
HINDCOPPER,31-07-2025,2,5,3,5,2,15,CE,25000
HINDPETRO,31-07-2025,2,5,3,5,2,15,CE,25000
HINDUNILVR,31-07-2025,2,20,3,20,2,15,CE,25000
HINDZINC,31-07-2025,2,10,3,10,2,15,CE,25000
HUDCO,31-07-2025,2,5,3,5,2,15,CE,25000
ICICIBANK,31-07-2025,2,10,3,10,2,15,CE,25000
ICICIGI,31-07-2025,2,20,3,20,2,15,CE,25000
ICICIPRULI,31-07-2025,2,5,3,5,2,15,CE,25000
IDEA,31-07-2025,2,1,3,1,2,15,CE,25000
IDFCFIRSTB,31-07-2025,2,1,3,1,2,15,CE,25000
IEX,31-07-2025,2,2.5,3,2.5,2,15,CE,25000
IGL,31-07-2025,2,2.5,3,2.5,2,15,CE,25000
IIFL,31-07-2025,2,5,3,5,2,15,CE,25000
INDHOTEL,31-07-2025,2,10,3,10,2,15,CE,25000
INDIANB,31-07-2025,2,7.25,3,7.25,2,15,CE,25000
INDIGO,31-07-2025,2,50,3,50,2,15,CE,25000
INDUSINDBK,31-07-2025,2,10,3,10,2,15,CE,25000
INDUSTOWER,31-07-2025,2,5,3,5,2,15,CE,25000
INFY,31-07-2025,2,20,3,20,2,15,CE,25000
INOXWIND,31-07-2025,2,5,3,5,2,15,CE,25000
IOC,31-07-2025,2,1,3,1,2,15,CE,25000
IRB,31-07-2025,2,1,3,1,2,15,CE,25000
IRCTC,31-07-2025,2,10,3,10,2,15,CE,25000
IREDA,31-07-2025,2,2.5,3,2.5,2,15,CE,25000
IRFC,31-07-2025,2,2.5,3,2.5,2,15,CE,25000
ITC,31-07-2025,2,5,3,5,2,15,CE,25000
JINDALSTEL,31-07-2025,2,10,3,10,2,15,CE,25000
JIOFIN,31-07-2025,2,5,3,5,2,15,CE,25000
JSL,31-07-2025,2,10,3,10,2,15,CE,25000
JSWENERGY,31-07-2025,2,10,3,10,2,15,CE,25000
JSWSTEEL,31-07-2025,2,10,3,10,2,15,CE,25000
JUBLFOOD,31-07-2025,2,10,3,10,2,15,CE,25000
KALYANKJIL,31-07-2025,2,10,3,10,2,15,CE,25000
KAYNES,31-07-2025,2,100,3,100,2,15,CE,25000
KEI,31-07-2025,2,50,3,50,2,15,CE,25000
KFINTECH,31-07-2025,2,50,3,50,2,15,CE,25000
KOTAKBANK,31-07-2025,2,20,3,20,2,15,CE,25000
KPITTECH,31-07-2025,2,20,3,20,2,15,CE,25000
LAURUSLABS,31-07-2025,2,10,3,10,2,15,CE,25000
LICHSGFIN,31-07-2025,2,10,3,10,2,15,CE,25000
LICI,31-07-2025,2,10,3,10,2,15,CE,25000
LODHA,31-07-2025,2,20,3,20,2,15,CE,25000
LT,31-07-2025,2,20,3,20,2,15,CE,25000
LTF,31-07-2025,2,2.5,3,2.5,2,15,CE,25000
LTIM,31-07-2025,2,50,3,50,2,15,CE,25000
LUPIN,31-07-2025,2,20,3,20,2,15,CE,25000
M&M,31-07-2025,2,50,3,50,2,15,CE,25000
M&MFIN,31-07-2025,2,5,3,5,2,15,CE,25000
MANAPPURAM,31-07-2025,2,5,3,5,2,15,CE,25000
